time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-07-04T23:04:58.010Z,35.7495,-117.5613333,4.33,1.14,ml,24,134,0.07235,0.17,ci,ci38445439,2019-11-07T21:36:58.695Z,"14km W of Searles Valley, CA",earthquake,0.24,0.57,0.151,8,reviewed,ci,ci
2019-07-04T23:04:34.870Z,35.6751667,-117.5096667,4.55,1.4,ml,23,81,0.09655,0.15,ci,ci38445431,2019-11-07T21:21:49.830Z,"14km SW of Searles Valley, CA",earthquake,0.22,0.57,0.263,14,reviewed,ci,ci
2019-07-04T23:03:42.820Z,35.603,-117.5998333,2.38,1.77,ml,18,62,0.1134,0.12,ci,ci37236836,2019-11-07T21:09:12.741Z,"7km ESE of Ridgecrest, CA",earthquake,0.17,0.43,0.106,12,reviewed,ci,ci
2019-07-04T23:03:29.140Z,35.6255,-117.5716667,2.46,2.17,ml,34,54,0.09732,0.13,ci,ci38445423,2019-11-07T20:57:38.750Z,"9km E of Ridgecrest, CA",earthquake,0.13,0.39,0.153,24,reviewed,ci,ci
2019-07-04T23:02:35.430Z,35.576,-117.6158333,2.44,1.32,ml,22,89,0.1104,0.2,ci,ci37236828,2019-11-07T20:42:24.300Z,"7km SE of Ridgecrest, CA",earthquake,0.23,0.52,0.172,12,reviewed,ci,ci
2019-07-04T23:02:08.760Z,35.7281667,-117.5381667,5.5,1.68,ml,23,74,0.09983,0.14,ci,ci37236812,2019-11-07T20:42:22.752Z,"13km WSW of Searles Valley, CA",earthquake,0.2,0.97,0.134,15,reviewed,ci,ci
2019-07-04T23:02:00.020Z,35.6621667,-117.5391667,10.22,1.97,ml,29,73,0.09814,0.15,ci,ci38445415,2019-11-07T20:42:39.559Z,"13km ENE of Ridgecrest, CA",earthquake,0.19,0.47,0.093,15,reviewed,ci,ci
2019-07-04T23:01:33.230Z,35.688,-117.4866667,1.38,2.21,ml,37,55,0.1032,0.19,ci,ci38445407,2019-11-07T19:23:54.568Z,"12km SW of Searles Valley, CA",earthquake,0.19,0.41,0.117,26,reviewed,ci,ci
2019-07-04T23:00:25.430Z,35.6166667,-117.5956667,9.54,1.74,ml,22,94,0.1129,0.16,ci,ci38445399,2019-07-21T02:41:39.332Z,"7km E of Ridgecrest, CA",earthquake,0.22,0.79,0.095,5,reviewed,ci,ci
2019-07-04T22:59:01.590Z,35.585,-117.607,8.41,1.81,ml,27,89,0.118,0.18,ci,ci38445391,2019-11-07T18:47:36.275Z,"7km ESE of Ridgecrest, CA",earthquake,0.24,0.84,0.158,23,reviewed,ci,ci
2019-07-04T22:58:35.390Z,35.7138333,-117.5258333,4.8,1.76,ml,32,60,0.1172,0.12,ci,ci38445383,2019-11-07T18:35:45.612Z,"12km WSW of Searles Valley, CA",earthquake,0.14,0.49,0.132,25,reviewed,ci,ci
2019-07-04T22:57:51.430Z,35.6835,-117.4951667,6.48,1.67,ml,32,63,0.1004,0.17,ci,ci38445375,2019-11-07T18:14:21.520Z,"12km SW of Searles Valley, CA",earthquake,0.22,0.69,0.183,23,reviewed,ci,ci
2019-07-04T22:57:36.080Z,35.5951667,-117.5926667,4.01,1.24,ml,20,99,0.1067,0.13,ci,ci37236772,2019-11-07T18:11:49.408Z,"8km ESE of Ridgecrest, CA",earthquake,0.18,0.54,0.113,12,reviewed,ci,ci
2019-07-04T22:56:57.280Z,35.6376667,-117.5646667,8.82,2.11,ml,38,59,0.09787,0.15,ci,ci38445367,2019-11-07T16:54:10.400Z,"10km E of Ridgecrest, CA",earthquake,0.16,0.51,0.161,26,reviewed,ci,ci
2019-07-04T22:56:17.610Z,46.8106666666667,-121.985,11.49,0.43,ml,9,202,,0.16,uw,uw61533331,2019-07-05T16:53:17.530Z,"22km ESE of Eatonville, Washington",earthquake,0.71,0.63,0.0938547296458251,5,reviewed,uw,uw
2019-07-04T22:55:02.440Z,38.8263321,-122.8096695,1.35,1.18,md,25,38,,0.03,nc,nc73206571,2019-07-04T23:25:03.699Z,"7km NW of The Geysers, CA",earthquake,0.18,0.32,0.2,6,automatic,nc,nc
2019-07-04T22:53:24.320Z,35.634,-117.6111667,11.95,1.42,ml,26,98,0.1275,0.16,ci,ci37236764,2019-11-07T17:13:57.063Z,"6km ENE of Ridgecrest, CA",earthquake,0.26,0.73,0.123,14,reviewed,ci,ci
